Text,Emotion
i feel like an obnoxious nagging call times everyday tag alonger that he is finally sick of tolerating and is now just giving the cold shoulder,anger
i have been sitting at home revising today and all in all feeling quite stressed,anger
i was feeling more and more frustrated with each session he attended,anger
i feel attacked or insulted it is helpful to realize that the idea of attack is alive and well in my own mind,anger
i am feeling a bit offended,anger
i offend easily when i feel my intelligence is insulted,anger
i had to continue to enforce my no playdate policy which meant i continued to feel angry twice over each day once during a horrible morning drop off and once in the afternoon when i reminded noah that no he couldnt play because of the bad drop off missing mommy,anger
i tasted some hari raya cookies and feeling greedy i would go and prebook their kueh makmur and tart because i know their hygiene standard and ingredients,anger
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,anger
i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,anger
i feel bitchy saying it but i think that next saturday i just want to be alone,anger
i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,anger
i was feeling whether it be mad sad disappointed or peaceful,anger
i kind of feel a little petty about this,anger
i feel it is dangerous especially for the new believer who is not grounded in the word of god,anger
when we rearranged furniture in our flat and got stuck in a chair,anger
i am feeling stressed and more than a bit anxious,anger
i was feeling particularly pissed off and wanted to go to a party,anger
i watched the news at the tv,anger
im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,anger
i have power feeling to justify their laziness and being bitchy against skinny girls,anger
i feel so damn agitated,anger
i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,anger
i am at the point of feeling resentful toward him and i don t want to be,anger
i can sit here and cry and feel wronged but it wont change the outcome,anger
i started feeling a little stressed about leaving on time and making sure we got the getting ready pictures i wanted but everything seemed to workout perfectly,anger
i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,anger
im feeling greedy for right now,anger
i feel like it s waiting in the wings just patiently waiting for me to be distracted enough so it can take me down and take everything i love in this world away and destroy me,anger
i feel like i fucked up big time but i have to protect a and myself,anger
i feel pissed off and angry,anger
i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly,anger
i don t follow too many people and i don t have too many followers however i have a feeling that the people that i am talking about may know who they are i m not trying to be rude i m just being real,anger
i feel like uninstalling skype deactivateing all of my facebook amp hatena accounts since im becoming a hateful person amp i dont want to get any worse than i am right now,anger
i was playing a sport in an advanced pe class and many of the people were not advanced,anger
i feel so greedy of holidays and forgetting my responsibilities,anger
i am feeling rather heartless because i recently heard the words unconditional love and could not find it in myself,anger
i feel dissatisfied and more accustomed to healing,anger
im feeling envious already,anger
i only do unwillingly and always leaves me feeling grouchy and unsettled,anger
i feel like i should be listening to chinesepod and working on my mandarin but what i really want to listen to is the savage love podcast or car talk,anger
told by some people the class leader only choose his friends not true,anger
i feel that it is extremely dangerous for her to be wandering out to sea,anger
i can put on it without words since i just cant type on that it was so lovely this morning yes im feeling sarcastic today,anger
i am put in mind of an odd feeling of vicious cruel natural order here it seems no one is able to escape the town the cycles of predator and victim catching up with anyone trying to elevate themselves out of the mire,anger
i feel more violent than ever right now,anger
i feel insulted by how those heroes of cosplay goons said they don t care if you re if,anger
i usually ignore page invites that are irrelevant to me or facebook game invites because its impersonal and it feels insincere,anger
i feel like most teams would have appeased jackson at this point but the eagles are terribly stubborn,anger
i think i love her enough now to feel pretty insulted and rawr about it,anger
i can never tell him how i feel and it really sucks because i think he gets really bothered by that,anger
i have a feeling there are a lot of pissed off people in sea org in hollywood where scientology has become the monster that devoured wa wonderfully sleazy bohemian area,anger
i decided to lay down in my bed but then i started to feel really violent like i wanted to punch and kick things except i didnt wnat to hurt anything,anger
whenever i put myself in others shoes and try to make the person happy,anger
i wasn t sure what this gnawing feeling i was having but i was getting agitated sitting around doing nothing,anger
i dont remember how january was like last year thats why i need a real diary but this one is feeling bitter dark and boring,anger
i feel for vets the animals whose lives they save are always going to be hostile,anger
i feel betrayed and angry and sad at the same time dammit,anger
i have this really bad feeling that cold is what i will be for a few months,anger
i am starting to feel like maybe i do want a relationship im just to stubborn to admit it,anger
i didnt start feeling the excitement until the movie was almost over and then it started coming in violent waves,anger
i have felt the need to write out my sometimes anxious feelings impatient thoughts lists of things that still should could be done before this baby arrives,anger
i dropped off the script and left feeling dissatisfied with myself,anger
i was lying in bed last night after a day of making experiments from the usual suspects fabric plastic and feeling agitated that my issues with proper presentation had not made any headway over the course of a mere six hours,anger
i feel like im being greedy asking for something so expensive,anger
i cant remember exactly what made me stop using it but i have a feeling i got distracted by other hair products and just sort of forgot about this one,anger
i have a feeling hell be the kid up there shooting daggers out of his eyes annoyed that hes standing up there holding flowers,anger
i feel is entirely more dangerous,anger
i sometimes feel irritated at the thought of spending money on a few annuals to spruce up my doorstep,anger
i wish i could bottle her squeals of delight and take them out whenever im feeling grumpy,anger
im feeling dangerous and ill just write and figure out where the hell itll take me,anger
i think i was also having a pity party because i am feeling a bit frustrated with how little time i seem to have each day,anger
i might feel offended at times from hearing statements where that i strongly disagree,anger
i can cycle further than ever before and the feeling of finishing the manchester to blackpool miles then not being at all bothered at having to ride an extra mile to put,anger
i was feeling like i said humour gets me through im one of those people who even if i spoke about my issues no one would be too bothered or would care that thought was in my head and wasnt true that way of being like i dont want to burden you sort of thing,anger
i made some chilli oil because it s monday and i was feeling dangerous,anger
ive also been feeling somewhat emo irritable lately,anger
i feel completely distracted and emotionally drained,anger
im trying to be understanding open minded and fair but im feeling completely pissed to the max about a few things,anger
im not sure if its just me who feels this way or if its everyone but tortured souls dont make for the best boyfriends,anger
i feel could have been avoided with some blazes markers or cairns i was very annoyed at this point,anger
i feel more aggravated and annoyed by their visits,anger
i had a good day but right now im feeling pretty irritable for no real reason meaning nothing significant happened to make me feel annoyed,anger
i feel furious with myself,anger
i am feeling very petty right now,anger
i feel that sometimes i ve been distracted and neglectful i am thankful that this is not about adding another box to check in my otherwise busy days,anger
i read her blog is that i feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people,anger
i am sat here feeling mightily distracted and not wanting to write the next scene of my nano just yet rape torture bad stuff,anger
i feel bothered by any of these things i open a door,anger
i feel irritable about the number of people that came into our office whining about their own circumstances i realize im not practicing thinking about the good things and i find it a better way to pull yourself into the present,anger
i feel like being all stubborn and stingy,anger
i am asleep i would feel no pain but that violent act would be completely unjustified all the same,anger
i know their feelings are very real and not petty but neither are mine here,anger
i don t want to i feel irritated,anger
i feel like they rushed the relationship,anger
i know how it feels to be tortured,anger
i would feel so i don t know maybe a little resentful,anger
i look at their situation and feel so so jealous that i almost cant bear it,anger
i help my daughter when she is feeling angry,anger
i hate myself to feel so bothered by the word team the word badminton,anger
i wont give you too much in case you feel greedy,anger
i feel that i worry too much and much on petty things like,anger
i feel so greedy so needy so helpless,anger
i really feel for the women who have to work with these obnoxious cretins,anger
im sorry im feeling a little bitchy tacky looking women came in and sat next to me,anger
i feel its rude to say he is better than all the other men,anger
i feel agitated a lot im straddling articulacy and incoherence,anger
i noticed that i was feeling very stressed and anxious and i just couldnt quite put my finger on why,anger
i feel heartless even though my heart hurts,anger
i reckon you need to stop feeling bitter and be realistic,anger
i leave something sometimes i throw some change in the tip jar other times i dont leave anything but i feel rude doing that haha,anger
i am waking up in the middle of the night again with aches and pains and generally feeling grumpy,anger
ill let myself shed a few tears and feel bitter confused frustrated and hurt for the last time,anger
i feel so disgusted when i see blood and feel like faiting and also when people eat raw meat in front of me,anger
im always feeling so agitated overly excited and impatient to those who are close to me,anger
at a party i met a girl who drew me to her,anger
i thought i would grumpily curse the world and remain angry about oh i don t even really know sometimes it feels like i m angry about absolutely everything,anger
im not condoning terrorist action but you feel so furious and powerless,anger
i still do feel left out i do feel like the most hated kid in the asian crew,anger
i feel like a greedy pig catching up to do lt bc afterward yay im gna get my delicious chocolates and in exchange zjs gna get bai tu tang from me,anger
i can imagine most young people might feel resentful about the attention their sibling was getting while also feeling guilt at the same time,anger
i am feeling the self hate going or when i find myself feeling hateful of someone else all i have to do to feel the power and compassion of spirit once more is by remembering i am a spiritual being,anger
im just feeling emo and bitchy atm,anger
i feel it is very rude and ingorant,anger
i feel completely rude with not keeping up with some of you over the course of the year but it has been a mightily busy one,anger
i have come from the summer time and feeling like coach hated me,anger
i cannot explain why but i need to say please understand my feeling i have heart and im not a heartless person,anger
i am very sad you feel distracted but i am not participating in the relationship you think we have,anger
i almost feel too stubborn to come back as i said that i was leaving,anger
i think ive just been feeling a little bothered,anger
i should pull out if i feel resentful or edgy,anger
i just feel greedy and lame making one,anger
i get the feeling that this could be dangerous,anger
i did not want to feel rushed through the program,anger
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy,anger
i have had moments of feeling silently offended by egyptian youngsters who identified as egyptian even if they were born in the us labeling me as a white person even though they were in many ways more assimilated than me,anger
i feel impatient with brian s prolonged assertion of his alien encounter but nobody other than the victim could truly relate to repercussion of being molested,anger
i found myself looking at the clock and starting to feel irritated,anger
i am feeling irritated anxious which is often then i dont even like my kids touching me,anger
i feel appalled that i took advantage of my old friend s kindness,anger
i remember being appalled feeling personally insulted that they could have thought that i would listen to something as vulgar as the bee gees,anger
i feel furious at love because i really thought it was better than that,anger
i actually was in a meeting last week where someone yelled at an older lady because her phone rang i felt terrible for her your boss treats you unfairly or in this case someone makes you feel you are not worth anything is only allowing those who offended to steal your joy,anger
i am feeling bitchy this evening,anger
i feel the vile rising in my throat flipping up the lid on the toilet to let it out,anger
i can feel the rebellious spirit already,anger
i feel really irritated when i talk about my problems and people start talking about theirs,anger
i sure did appreciate her asking instead of just feeling mad or hurt because she thought i was,anger
i have a feeling i will be dissatisfied several times,anger
i don t really believe because i walked through all the water stops in my first marathon and i actually don t think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,anger
i always get that feeling that i got one kids more than another and it is vicious,anger
i see all my friends posting pics and status updates of where they are going or what they are doing and i feel a bit jealous knowing it s not something i can get out and enjoy,anger
im feeling a bit grouchy today,anger
im feeling cranky a href http doingaone eighty,anger
i needed some space i needed to grow i was in the midst of some serious change and ok yes they had also hurt my feelings pretty badly and i was a bit spiteful,anger
i wont lie this week has been abit of a difficult week for me ive been feeling very stressed and anxious this week plus i think im coming down with the flu but it has definately helped me to appreciate the little things,anger
i just feel insulted oh oh oh to my exexbf i am so totally entirely over you,anger
im feeling really really sarcastic caustic or theres been an influx of idiots into my flists daily lives,anger
i feel that anna ji is little bit stubborn on jan lokpal bill and the protests related to it,anger
i listen to it i feel all rebellious,anger
i am not feeling the love towards myself and that becomes somewhat of a vicious circle resulting in me just feeling lazy complacent and in general just de motivated,anger
i feel can you stop being so obnoxious and think for me at the very least,anger
im feeling a little dissatisfied,anger
i feel lashes out at me and is rude,anger
i find it helps to let go of self will by saying let your will be done not mine or when i m feeling particularly impatient in god s time not my time,anger
i hope i get the job cause im in desperate need of money and i feel greedy,anger
i think itd be easier if i had parents that argued with me about it then i could feel rebellious or something p but right now i just feel like a burden,anger
i was feeling cold towards to my partner although i didnt think i presented that way i felt like i had to fake my feelings for him and that i didnt love him anymore,anger
i lie down he feels my belly listens to babys heartbeat gets mad at me for sitting up without rolling onto my side first and then tells me theres some protein in my urine nothing to be worried about though and asks if anything is bothering me,anger
i hear someone say we should just let gardeners be let folks do whatever they want i feel pretty aggravated,anger
i really feel pissed off as i want to spend more time with you,anger
i went outside to shut in the hens then was tempted by the brilliance of the stars to walk across the frozen fields feeling very cold looking up into the sky,anger
i feel kinda bitchy and cranky i need to try and take a nap,anger
i feel like it add a little bit more shield from the cold and the fabric is great for wicking away sweat,anger
i feel like im so distracted most days,anger
ive been feeling very mad at it,anger
i havent been sick in the winter very often since i quit smoking years ago so seldom in fact that now when i do get sick i feel outraged hows that for rational thinking,anger
i need to step up my game but im just feeling like i cant be bothered,anger
i didnt want to be spending my days working in a job that i didnt enjoy or to come home feeling stressed and tired and not be able to give my daughter the attention she deserved,anger
when i learnt that my best friend had failed the exams,anger
i started to feel like i was going mad as i was sure i could see stars floating in the water but whenever i went to grab one i came up with nothing,anger
i look at others and feel jealous,anger
i am sure its meant as a celebration of the various shades of red out there i feel insulted,anger
i feel so frustrated because i had a long weekday and i dont really have plenty of rest and right now he keeps on coming in the room,anger
i always feel a little jealous of my son because when i joined the church i went almost directly into young women so i didnt learn the primary songs,anger
i disagree with my parents on many issues and will sometimes let them know my feelings in unkind ways,anger
i have to admit that i feel the teensiest bit envious of my friends who live there,anger
i felt apprehensive in regards to the party oftentimes in the past other men have made me feel resentful towards them when i attended with them,anger
i was feeling pretty distracted with a few things that have been going on so it felt good to go with a clear mind,anger
i just say the things that i want without even thinking what the person would feel its rude right,anger
im not the one who feel bothered about this,anger
i need a break or im feeling stressed out,anger
i was asked to toast with champagne at the death bed and i remember feeling disgusted,anger
i dont really know why but ive also been feeling really rebellious,anger
i feel cranky tonight so im not really updating properly,anger
i feel appalled right now,anger
i feel enraged by the amount of people participating for the chance to break things or those who treat it as a tourist event,anger
im crashing and i feel all irritable and estrogen ish,anger
i was feeling distracted yesterday,anger
i feel rebellious i wish i could do things legally i cant smoke drink or drive,anger
i feel really selfish and feel guilty when i think about hurting myself,anger
i was feeling rather cranky cos i was thinking about the lack of sleep i had bah,anger
i have no strong feelings for this book neither hated nor loved it,anger
im feeling cooped up and impatient and annoyingly bored,anger
im able to refine my poses and concepts without feeling rushed,anger
i came out of the airport that makes me feel irritable uncomfortable and even sadder,anger
i feel tortured delilahlwl am considering i had one the other day about one of my closest friends raping and killing chicks,anger
i told my fiance how i am feeling so angry and upset,anger
i just keep feeling like someone is being unkind to me and doing me wrong and then all i can think of doing is to get back at them and the people they are close to,anger
im feeling a little cranky negative after this doctors appointment,anger
im grabbing a minute to post i feel greedy wrong,anger
i am feeling grouchy,anger
i think it s the easiest time of year to feel dissatisfied,anger
i feel irritated and rejected without anyone doing anything or saying anything,anger
i already feel like i fucked up though because i dont usually eat at all in the morning,anger
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i stopped feeling cold and began feeling hot,anger
i feel selfish and spoiled,anger
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger
i know the pain parents feel when an enraged child becomes violent,anger
i feel angered and firey,anger
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
i remember feeling so hellip furious with the shooter,anger
im feeling bitter today my mood has been strange the entire day so i guess its that,anger
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
i just feel really violent right now,anger
i feel disgusted to even be associated with this woman by my race and nationality,anger
i laughed then bitterly again but i wasnt feeling bitter,anger
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger
i know there are days in which you feel distracted,anger
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i will start to feel resentful,anger
i feel so fucked like everyday of my life,anger
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger
im feeling cranky,anger
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger
im still paying attention but i feel distracted,anger
i have my own mind and i feel like my mind is dangerous to my life,anger
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i always spend more money there than i mean to and feel dissatisfied when i exit the store,anger
im feeling really quite angry,anger
i is starting to feel a bit insulted by this stranger,anger
i see women wearing boots i feel envious that i want to curse them,anger
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
i started feeling hostile and i am checking my hemorrhoids,anger
i feel like i m on the receiving end of a violent attack,anger
i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,anger
i feel envious and embarrassed,anger
i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,anger
i should feel complimented or insulted,anger
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,anger
i feel bitter and just honkerblonked off in general,anger
im sure that the folks in virginia florida and the other handful of swing states agree feel not only put upon but insulted by the constant barrage,anger
i do feel envious of those with kids at certain moments,anger
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,anger
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
i feel like i should care that im a bit heartless not to,anger
i feel bitchy because i am hurting too,anger
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
i am going to clean the slate by unilaterally forgiving those i feel have wronged me or someone i love intentionally or through carelessness so that i thereby in time can forget the perceived insults and abuses,anger
i feel like you feel this is a mistake but time is fucked up sleep won t take,anger
i feel there are dangerous games or activities,anger
i do feel that they are greedy and money hungry absolutely,anger
i feel so fucked up now i want to shut myself up,anger
i must find a way to accept these limitations until they are older without feeling held back or resentful,anger
i feel wronged but the judges people make at times however i also found out that actually in life we just need to be responsible to our own actions and and the people around us,anger
im currently feeling way fucked up with the mother tongue paper,anger
i feel tortured and tragic enough as it is without having any importance or sparkle,anger
i feel selfish thinking this way but i feel so lonely at times,anger
i feel like i have been rather unkind to it,anger
i do feel a bit obnoxious it is definately the weather,anger
i says pressing his torso against siwons and bringing their faces close enough that he can feel siwons agitated breath,anger
i feel a little frustrated an ache of longing has settled into my heart the weariness of life his slipped around my shoulders like an unwelcome friend,anger
i was feeling impatient and took pills,anger
i feel like my go to emotion is angry,anger
i is feeling insulted because everyone is comparing sneha with her,anger
im feeling every bit the spiteful vindictive bitch i can be at times,anger
i didn t think that it would come that fast or would come at all but i suppose it is because i feel cranky today,anger
i have the feeling that im going to be stubborn about it,anger
i start to feel agitated lacking in patience and just down right cranky,anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
i would hate to be bit imagine if the secretary is feeling irritable that day eh,anger
i feel agitated and the result is not pleasant the opposite of calm and peaceful,anger
i truly feel but its somehow not enough for me to hate him or to get mad,anger
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger
i was feeling rebellious so i ate it,anger
i do feel agitated restless or on edge quite often,anger
i feel like i should have actively hated every single second rather than just borne it all,anger
i feel a violent tug at my eye socket,anger
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger
i was tempted to feel a little bitter but then i saw this,anger
i really am feeling horribly irritable and a little bit depressed,anger
im feeling rushed and like i should have planned certain things this summer that i can no longer do,anger
i feel that cold breeze,anger
i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
i feel heartless now feeling bored and not believe in love anymore,anger
i have been highly critical of dennis covingtons book in this article i must admit that he did say something that has merit in this discussion when he noted in his closing chapters this feeling after god is a dangerous business,anger
i feel really angry sometimes because for the love of god havent we been through enough,anger
im feeling cranky and horrible,anger
i really feel i was wronged as a patient,anger
i feel like a greedy little traitor i m looking looking among these covers hey little snotface take me,anger
i feel like i was a rude ass hole at hookah,anger
i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed,anger
i feel disgusted when need to act cute like the actions of gwiyomi,anger
im starting to not buy the whole everything happens for a reason bit or god has a plan b c i feel that god is love and theres no way that he would torture me and other women like weve been tortured dealing w fertility issues,anger
i feel truly impatient that this is taking so long,anger
i want to say how i want to feel just come out so bitter and angry,anger
i know what it feels like to face irate customers,anger
i havent worked out today but i feel like im just not going to feel it ive been so stressed at work and just in life that this week is just bad,anger
i sometimes feel resentful that this has come into our lives at this time,anger
i feel like i have been really cranky at school these days,anger
i do not feel like i am hostile toward others just that i fail to be nice to them,anger
i wake up feeling cranky and out of sorts,anger
i say that i feel like im being tortured by him,anger
i cant help looking back on the child i was and feeling rather jealous but i am also delighted to be living in a time when a nine year old child in some parts of the world can read a thousand books a year if she he wishes and is able to,anger
im feeling a bit cranky today,anger
i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters,anger
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
i didnt feel the cold up there because we had a fire every night,anger
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
i finish typing this post i realise i m ok no longer do i feel annoyed angry or even sad,anger
i refuse to rate the book but if she and her publisher feel snobbish then take it from me when i say jeanette winterson cannot write and essentially does not do wish to do anything with the scope to explore,anger
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,anger
i remember feeling how my husband felt when i would see people being rude to my mom and mom just being her sweet self to them,anger
i remember feeling a little jealous and realized that our time together wasnt solely about me but that he has a larger network of social interactions all ready in progress before i got there,anger
i feel impatient yet i am not fully sure what i am searching for,anger
i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger
i feel i am completely dissatisfied with the whole world and all human characters are inconsistent,anger
i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry,anger
im feeling particularly dangerous a chocolate cookie,anger
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
i feel bothered,anger
i feel just insulted,anger
when a very close friend with whom i have a very intimate and bodily relationship he had a girlfriend started to avoid me and didnt want to talk to me any more,anger
i feel wronged by the world,anger
i feel agitated and empty and missing something,anger
i am feeling deeply offended big hurt feelings in fact,anger
i dontknow why but i never feel this way with anyone else i really cant be without linus i love him which i never thought i could ever love anyone after went through few fucked up relationship,anger
i am glad to know the reason for my recent lapse of sanity but i still feel like i want to go on a very violent rampage at the slightest inconvenience to me,anger
i feel like offended with such question,anger
i guess im just feeling a little rebellious,anger
